Loading DEM at ~301m resolution for ML data generation...
  grid: 296 x 259 cells, dx=269.5m, dy=300.6m
[37/60] sample_0036 split=train Q=3966m3/s loc=(26,167) -> flooded=175.9km2 max_d=1.08m (20.1s, unstable=False)
[38/60] sample_0037 split=train Q=4986m3/s loc=(25,160) -> flooded=217.2km2 max_d=1.13m (20.6s, unstable=False)
[39/60] sample_0038 split=val Q=4482m3/s loc=(32,168) -> flooded=179.6km2 max_d=1.14m (20.3s, unstable=False)
[40/60] sample_0039 split=train Q=4143m3/s loc=(28,161) -> flooded=181.4km2 max_d=1.06m (21.2s, unstable=False)
[41/60] sample_0040 split=train Q=4226m3/s loc=(30,168) -> flooded=176.6km2 max_d=1.13m (24.0s, unstable=False)
[42/60] sample_0041 split=train Q=3366m3/s loc=(24,170) -> flooded=152.8km2 max_d=0.88m (24.3s, unstable=False)
[43/60] sample_0042 split=val Q=3653m3/s loc=(23,162) -> flooded=166.1km2 max_d=0.84m (23.1s, unstable=False)
[44/60] sample_0043 split=train Q=2369m3/s loc=(27,168) -> flooded=88.1km2 max_d=0.67m (24.1s, unstable=False)
[45/60] sample_0044 split=train Q=3997m3/s loc=(24,170) -> flooded=179.4km2 max_d=1.04m (33.5s, unstable=False)
[46/60] sample_0045 split=train Q=5237m3/s loc=(25,172) -> flooded=221.7km2 max_d=1.31m (21.6s, unstable=False)
[47/60] sample_0046 split=train Q=3112m3/s loc=(30,167) -> flooded=121.2km2 max_d=0.87m (20.0s, unstable=False)
[48/60] sample_0047 split=train Q=1921m3/s loc=(30,161) -> flooded=61.5km2 max_d=0.48m (20.4s, unstable=False)
[49/60] sample_0048 split=train Q=3610m3/s loc=(35,166) -> flooded=139.9km2 max_d=0.96m (20.0s, unstable=False)
[50/60] sample_0049 split=train Q=2142m3/s loc=(33,163) -> flooded=72.3km2 max_d=0.58m (20.9s, unstable=False)
[51/60] sample_0050 split=train Q=3641m3/s loc=(29,165) -> flooded=148.2km2 max_d=1.01m (20.6s, unstable=False)
[52/60] sample_0051 split=train Q=3939m3/s loc=(35,167) -> flooded=153.1km2 max_d=1.04m (20.7s, unstable=False)
[53/60] sample_0052 split=train Q=2819m3/s loc=(29,172) -> flooded=111.5km2 max_d=0.65m (19.9s, unstable=False)
[54/60] sample_0053 split=val Q=3751m3/s loc=(27,171) -> flooded=166.4km2 max_d=0.97m (20.4s, unstable=False)
[55/60] sample_0054 split=train Q=1917m3/s loc=(28,164) -> flooded=62.8km2 max_d=0.52m (20.1s, unstable=False)
[56/60] sample_0055 split=train Q=5131m3/s loc=(33,167) -> flooded=202.8km2 max_d=1.30m (20.6s, unstable=False)
[57/60] sample_0056 split=train Q=3874m3/s loc=(24,164) -> flooded=175.3km2 max_d=0.96m (20.2s, unstable=False)
[58/60] sample_0057 split=train Q=4308m3/s loc=(24,161) -> flooded=192.0km2 max_d=0.98m (20.5s, unstable=False)
[59/60] sample_0058 split=train Q=4261m3/s loc=(26,169) -> flooded=187.5km2 max_d=1.15m (20.1s, unstable=False)
[60/60] sample_0059 split=train Q=4662m3/s loc=(32,164) -> flooded=186.4km2 max_d=1.27m (21.8s, unstable=False)

Done: 60 samples (48 train / 12 val) in 21.9 min
Unstable runs: 0/60
Manifest: D:\Projects\SIH 26\backend\ml_data\manifest.json
